timestamp,critical_operations_load_mw,device_vulnerabilities_cve,protocol_packet_loss_pct,ev_microgrid_integration_index,industry_firewall_efficiency,overall_resilience_score
2024-01-31,76.83553290043892,28,21.343071280470802,26.015815104618014,52.94571930689826,43.546346085067924
2024-02-29,90.39909295530654,37,21.476115151635227,25.435042015407344,40.14316052135651,41.365925581849474
2024-03-31,124.53198246132574,24,30.883457478705033,26.654559100218883,44.07683024600552,37.27794396834203
2024-04-30,138.98333827969162,31,44.52007223748798,22.689115502484928,41.853538011029784,44.618765570144774
2024-05-31,114.17151695993566,31,30.79322720072837,27.58673853892992,47.09505060862752,34.89646669200117
2024-06-30,134.16855216361566,27,32.98322513022038,19.90154857393237,60.99043899041351,36.57473224215692
2024-07-31,101.19725308134281,36,31.03586082262686,23.846216965353506,45.89802350877064,30.12645363479018
2024-08-31,95.40469532353404,27,26.778636647813986,21.072016844402828,48.60468690926673,22.72961527206211
2024-09-30,96.16994865912012,29,17.65418889271362,19.43409168374413,48.359938718790126,23.03912242078934
2024-10-31,110.03261899065748,29,18.86515125551973,27.960088237439997,50.21945486369279,29.322480958114905
2024-11-30,130.92881966176353,29,16.485308829919337,13.635444813478491,48.81337274944657,10.577699380359139
2024-12-31,142.02450051827367,36,35.98637337188427,9.178203688089932,50.04364414273097,23.379149463208435
